ID,Categoria,Articulo,Requisito,Tipo,Status,Observaciones
F01,Componentes,Art 6a,Hardware de enrolamiento/captura (lector/celular),Mandatorio,Pendiente,
F02,Componentes,Art 6c,Portal de fiscalización web (HTTPS),Mandatorio,Pendiente,Ubicado en app/Filament/Dt
F03,Componentes,Art 6d,Base de Datos con almacenamiento y respaldo,Mandatorio,Pendiente,
F04,Idiomas,Art 5,Plataforma y manuales en Castellano (técnico Chile),Mandatorio,Pendiente,
F05,Enrolamiento,Art 7f,Modificación de clave por el trabajador + Correo Auto,Mandatorio,Pendiente,
F06,Enrolamiento,Art 7g,Al menos dos alternativas de identificación (ej: Biometría y Clave),Mandatorio,Pendiente,Una debe ser NO biométrica
F07,Seguridad,Art 8,Generación automática de Hash/Checksum (SHA-2 sugerido),Mandatorio,En Progreso,Implementado sha256 en MarkObserver
F08,Seguridad,Art 8,Funcionalidad web para validar Hash del comprobante,Mandatorio,Pendiente,Debe permitir consulta en línea
F09,Transmisión,Art 9,Transmisión automática en línea a base de datos,Mandatorio,Pendiente,
F10,Sello de Tiempo,Art 11,Asignación electrónica de fecha y hora (Sello de tiempo),Mandatorio,Pendiente,
F11,Comprobantes,Art 12,Envío automático de comprobante al correo del trabajador,Mandatorio,Pendiente,
F12,Comprobantes,Art 13,Contenido mínimo: Fecha (dd/mm/aa) Hora (hh:mm:ss) Nombre RUT Hash,Mandatorio,Pendiente,
F13,Comprobantes,Art 13,Ubicación geográfica en el comprobante (si aplica),Opcional,Pendiente,
F14,Seguridad DB,Art 14a,Seguridad para impedir acceso no autorizado y adulteración,Mandatorio,Pendiente,
F15,Confidencialidad,Art 15,Perfiles de seguridad (Empleador Trabajador Fiscalizador),Mandatorio,Pendiente,
F16,Auditoría,Art 15,Registro automático de asignación de perfiles (Solo Admin),Mandatorio,Pendiente,
F17,Disponibilidad,Art 16,Disponibilidad 7x24 y monitoreo de componentes,Mandatorio,Pendiente,
F18,Fiscalización,Art 17b,Acceso portal fiscalización vía HTTPS (TLS 1.2+) SSL Válido,Mandatorio,Pendiente,
